NE-500  Syringe  pump  communication  established!
spSerial::  Sent_Cmd:  *RESET  ||      ||    Received:00S
spSerial::  Sent_Cmd:  DIA7.0  ||      ||    Received:00S
TC-36-25_RS232  Temperature  controller  communication  established!
Arduino  communication  established!  
Estimated  pre-scale:  3.24  
Final  pre-scale:  3  

Debug  log  path:  D:\GitHub\workspace\A4_FreezeRay\20141125_M05_R02_E01_debuglog_16956729.csv
Data  log  path:  D:\GitHub\workspace\A4_FreezeRay\20141125_M05_R02_E01_datalog_16956729.csv
Recipe  path:  D:\GitHub\workspace\A4_FreezeRay\20141125_M05_R02_E01_recipe.csv
arduinoSerial::  Sent_Cmd:  P  ||  Received:  P_255
controller::  self.step:    |  1  |  Do  nothing  4s  |  4s  |  N  |  23.5  |  0  |  100  |  200  |  1900  |  N  |  This  is  a  comment
arduinoSerial::  Sent_Cmd:  P  ||  Received:  P_0
arduinoSerial::  Sent_Cmd:  F  ||  Received:  F_255
tcSerial::  Sent_Cmd:  001c00000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  001c00000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  002d00000064  ||    Received:000000648a
spSerial::  Sent_Cmd:  DIR  WDR  ||      ||    Received:00S
spSerial::  Sent_Cmd:  RAT  1900  UM  ||      ||    Received:00S
spSerial::  Sent_Cmd:  VOL  200  ||      ||    Received:00S
spSerial::  Sent_Cmd:  RUN  ||      ||    Received:00W
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009608f
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:000009f0bf
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000000b2b4
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00WI200.0W13.67UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:0000096291
tcSerial::  Sent_Cmd:  000300000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:000009f0bf
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00WI200.0W94.69UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:0000096291
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:000009f2c1
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00WI200.0W174.2UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:0000095cc1
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:000009faf0
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:0000094dc1
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000a07b8
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  No  reply!
arduinoSerial::  Sent_Cmd:  Q  No  reply!
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:0000093591
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000a1be4
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:0000091cbd
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000a2ce6
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009028b
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000a3fea
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000008e6c3
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000a4feb
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000008cbed
tcSerial::  Sent_Cmd:  000300000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000a62b9
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000008b0ba
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000a78c0
tcSerial::  Sent_Cmd:  000400000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:0000089596
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000a8cec
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:0000087bc1
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000a9dee
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:0000086290
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000ab1e4
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:0000084abd
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000ac3e7
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000008308b
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000ad4e9
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:0000081891
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000ae6ec
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:0000080088
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000af7ee
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000007eaed
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000b09bb
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000007d3be
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000b18bb
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000007bded
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000b27bb
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000007a9c1
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000b35ba
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:0000079494
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000b44ba
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:0000078190
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000b52b9
tcSerial::  Sent_Cmd:  000400000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:0000076cc0
tcSerial::  Sent_Cmd:  000300000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000b5eec
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:0000075894
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000b69c1
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000007448f
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000b75be
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000007328c
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000b7eee
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:0000071ebd
tcSerial::  Sent_Cmd:  000300000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000b89c3
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:0000070bb9
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000b93be
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000006faed
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000b9cee
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000006e8c3
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000ba9ec
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000006d7c1
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000bb3e7
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000006c5be
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000bbe19
tcSerial::  Sent_Cmd:  000400000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000006b5bd
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000bca16
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI200.0W200.0UL
controller::  self.step:    |  2  |  Cool  10s  |  3m  |  Y  |  0  |  100  |  0  |  -200  |  1900  |  N  |  This  is  a  comment
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000006a5bc
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000600000000  ||    Received:00000bd4ea
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  No  reply!
arduinoSerial::  Sent_Cmd:  Q  No  reply!
arduinoSerial::  Sent_Cmd:  Q  No  reply!
arduinoSerial::  Sent_Cmd:  Q  No  reply!
