NE-500  Syringe  pump  communication  established!
spSerial::  Sent_Cmd:  *RESET  ||      ||    Received:00A?R
spSerial::  Sent_Cmd:  DIA7.0  ||      ||    Received:00S
TC-36-25_RS232  Temperature  controller  communication  established!
Arduino  communication  established!  
Estimated  pre-scale:  3.24  
Final  pre-scale:  3  

Debug  log  path:  D:\GitHub\workspace\A4_FreezeRay\20141126_M05_R03_E01_debuglog_17031478.csv
Data  log  path:  D:\GitHub\workspace\A4_FreezeRay\20141126_M05_R03_E01_datalog_17031478.csv
Recipe  path:  D:\GitHub\workspace\A4_FreezeRay\20141126_M05_R03_E01_recipe.csv
arduinoSerial::  Sent_Cmd:  P  ||  Received:  P_255
arduinoSerial::  Sent_Cmd:  P  ||  Received:  P_255
arduinoSerial::  Sent_Cmd:  F  ||  Received:  F_0
tcSerial::  Sent_Cmd:  001c0000092e  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  002d00000000  ||    Received:0000000080
spSerial::  Sent_Cmd:  DIR  INF  ||      ||    Received:00S
spSerial::  Sent_Cmd:  RAT  1900  UM  ||      ||    Received:00S
spSerial::  Sent_Cmd:  VOL  1000  ||      ||    Received:00S
spSerial::  Sent_Cmd:  RUN  ||      ||    Received:00I
tcSerial::  Sent_Cmd:  000100000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009158f
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090891
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00II15.18W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009158f
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090891
tcSerial::  Sent_Cmd:  000400000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00II98.38W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009158f
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090891
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00II180.2W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009148e
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090891
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00II260.4W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009148e
tcSerial::  Sent_Cmd:  000300000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090992
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00II343.2W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009148e
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090992
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00II426.7W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009148e
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090aba
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00II509.7W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009148e
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090bbb
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00II591.3W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009148e
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090cbc
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00II672.6W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009148e
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090fbf
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00II752.4W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009148e
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:000009108a
tcSerial::  Sent_Cmd:  000400000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00II833.8W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009138d
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000600000000  ||    Received:000009108a
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00II915.2W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009138d
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090fbf
tcSerial::  Sent_Cmd:  000400000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00II997.1W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009148e
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090ebe
tcSerial::  Sent_Cmd:  000400000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI1000.W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009138d
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090ebe
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI1000.W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009138d
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090ebe
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI1000.W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009138d
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090dbd
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI1000.W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009138d
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090dbd
tcSerial::  Sent_Cmd:  000400000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI1000.W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009138d
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090dbd
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI1000.W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009138d
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090cbc
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI1000.W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009138d
tcSerial::  Sent_Cmd:  000300000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090cbc
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  No  reply!
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI1000.W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009138d
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090dbd
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI1000.W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009138d
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090cbc
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI1000.W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009138d
tcSerial::  Sent_Cmd:  000300000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090cbc
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI1000.W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009138d
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090cbc
tcSerial::  Sent_Cmd:  000400000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI1000.W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009138d
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090cbc
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI1000.W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009138d
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090cbc
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI1000.W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009128c
tcSerial::  Sent_Cmd:  000300000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090cbc
tcSerial::  Sent_Cmd:  000400000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI1000.W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009128c
tcSerial::  Sent_Cmd:  000300000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090cbc
tcSerial::  Sent_Cmd:  000400000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000500000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000500000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI1000.W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009128c
tcSerial::  Sent_Cmd:  000300000000  ||    Received:0000092ec0
tcSerial::  Sent_Cmd:  000600000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090bbb
tcSerial::  Sent_Cmd:  000400000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000400000000  ||    Received:0000000080
tcSerial::  Sent_Cmd:  000500000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_0:255:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00SI1000.W0.000UL
controller::  self.step:    |  2  |  Test  Fluidics  |  1m  |  N  |  23.5  |  0  |  100  |  1000  |  1900  |  Y  |  Test  fluidics  for  1min
arduinoSerial::  Sent_Cmd:  P  ||  Received:  P_0
arduinoSerial::  Sent_Cmd:  F  ||  Received:  F_255
tcSerial::  Sent_Cmd:  001cfffffc18  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  001cfffffc18  ||    Received:fffffc18ca
tcSerial::  Sent_Cmd:  002d00000064  ||    Received:000000648a
spSerial::  Sent_Cmd:  DIR  INF  ||      ||    Received:00S
spSerial::  Sent_Cmd:  RAT  1900  UM  ||      ||    Received:00S
spSerial::  Sent_Cmd:  VOL  1000  ||      ||    Received:00S
spSerial::  Sent_Cmd:  RUN  ||      ||    Received:00I
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009118b
tcSerial::  Sent_Cmd:  000300000000  ||    Received:fffffc18ca
tcSerial::  Sent_Cmd:  000600000000  ||    Received:0000090cbc
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000000bbe4
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
spSerial::  Sent_Cmd:  DIS  ||      ||    Received:00II1013.W0.000UL
controller::  self.step:    |  2  |  Cool  to  Freeze  |  1h  |  Y  |  -10  |  100  |  0  |  1000  |  1900  |  N  |  Try  to  freeze  for  1hr
tcSerial::  Sent_Cmd:  000100000000  ||    Received:000009118b
tcSerial::  Sent_Cmd:  000300000000  ||    Received:fffffc18ca
tcSerial::  Sent_Cmd:  000600000000  ||    Received:000009118b
tcSerial::  Sent_Cmd:  000400000000  ||    Received:No  reply!
tcSerial::  Sent_Cmd:  000400000000  ||    Received:000001ffed
tcSerial::  Sent_Cmd:  000500000000  ||    Received:0000000080
arduinoSerial::  Sent_Cmd:  Q  ||  Received:  Q_255:0:-30000
